,variance_explained,total_variance_explained
PC126,0.0005764058528484764,1.0000000000000002
PC127,0.0005563933223166825,1.0000000000000002
PC128,0.0005287519992319785,1.0000000000000002
PC129,0.0005130160685230912,1.0000000000000002
PC130,0.00047099456127037634,1.0000000000000002
PC131,0.0004535922815853329,1.0000000000000002
PC132,0.0004324225241560234,1.0000000000000002
PC133,0.0004189988285501767,1.0000000000000002
PC134,0.000389745060674205,1.0000000000000002
PC135,0.0003599481346092267,1.0000000000000002
PC136,0.0003382390087586836,1.0000000000000002
PC137,0.00032071048090702854,1.0000000000000002
PC138,0.00030196688824983314,1.0000000000000002
PC139,0.0002798436415811588,1.0000000000000002
PC140,0.00026346503560830705,1.0000000000000002
PC141,0.00023893244023799658,1.0000000000000002
PC142,0.000226961691310072,1.0000000000000002
PC143,0.00020061172710234066,1.0000000000000002
PC144,0.0001912697696099832,1.0000000000000002
PC145,0.0001644599716666373,1.0000000000000002
PC146,0.00014593284947004878,1.0000000000000002
PC147,0.00013863926811279092,1.0000000000000002
PC148,0.00011325508526434415,1.0000000000000002
PC149,9.029107913805838e-05,1.0000000000000002
PC150,8.029803870197151e-05,1.0000000000000002
PC151,6.05631299127863e-05,1.0000000000000002
PC152,5.3821308497382986e-05,1.0000000000000002
PC153,3.79669436467483e-05,1.0000000000000002
PC154,1.086993641475909e-05,1.0000000000000002
PC155,2.0278099812884678e-08,1.0000000000000002
PC156,0.0,1.0000000000000002
PC157,0.0,1.0000000000000002
PC158,0.0,1.0000000000000002
PC159,0.0,1.0000000000000002
PC160,0.0,1.0000000000000002
PC161,0.0,1.0000000000000002
PC162,0.0,1.0000000000000002
PC163,0.0,1.0000000000000002
PC164,0.0,1.0000000000000002
PC165,0.0,1.0000000000000002
PC166,0.0,1.0000000000000002
PC167,0.0,1.0000000000000002
PC168,0.0,1.0000000000000002
PC169,0.0,1.0000000000000002
PC170,0.0,1.0000000000000002
PC171,0.0,1.0000000000000002
PC172,0.0,1.0000000000000002
PC173,0.0,1.0000000000000002
PC174,0.0,1.0000000000000002
PC175,0.0,1.0000000000000002
PC176,0.0,1.0000000000000002
PC177,0.0,1.0000000000000002
PC178,0.0,1.0000000000000002
PC179,0.0,1.0000000000000002
PC180,0.0,1.0000000000000002
PC181,0.0,1.0000000000000002
PC182,0.0,1.0000000000000002
PC183,0.0,1.0000000000000002
PC184,0.0,1.0000000000000002
PC185,0.0,1.0000000000000002
PC186,0.0,1.0000000000000002
PC187,0.0,1.0000000000000002
PC188,0.0,1.0000000000000002
PC189,0.0,1.0000000000000002
PC190,0.0,1.0000000000000002
PC191,0.0,1.0000000000000002
PC192,0.0,1.0000000000000002
PC193,0.0,1.0000000000000002
PC194,0.0,1.0000000000000002
PC195,0.0,1.0000000000000002
PC196,0.0,1.0000000000000002
PC197,0.0,1.0000000000000002
PC198,0.0,1.0000000000000002
PC199,0.0,1.0000000000000002
PC200,0.0,1.0000000000000002
PC201,0.0,1.0000000000000002
PC202,0.0,1.0000000000000002
PC203,0.0,1.0000000000000002
PC204,0.0,1.0000000000000002
PC205,0.0,1.0000000000000002
PC206,0.0,1.0000000000000002
PC207,0.0,1.0000000000000002
PC208,0.0,1.0000000000000002
PC209,0.0,1.0000000000000002
PC210,0.0,1.0000000000000002
