GIMAP5	GIMAP5	Gene Expression
GITR|TNFRSF18|AHS0104|pAbO	GITR|TNFRSF18|AHS0104|pAbO	Antibody Capture
GNAI2	GNAI2	Gene Expression
GNLY	GNLY	Gene Expression
GZMA	GZMA	Gene Expression
GZMB	GZMB	Gene Expression
GZMH	GZMH	Gene Expression
GZMK	GZMK	Gene Expression
HAVCR2	HAVCR2	Gene Expression
HLA-A	HLA-A	Gene Expression
HLA-DMA	HLA-DMA	Gene Expression
HLA-DPA1	HLA-DPA1	Gene Expression
HLA-DQB1	HLA-DQB1	Gene Expression
HLA-DRA	HLA-DRA	Gene Expression
HLA-DR|CD74|AHS0035|pAbO	HLA-DR|CD74|AHS0035|pAbO	Antibody Capture
HMMR	HMMR	Gene Expression
ICAM1	ICAM1	Gene Expression
ICOS	ICOS	Gene Expression
IER3	IER3	Gene Expression
IFITM2	IFITM2	Gene Expression
IFITM3	IFITM3	Gene Expression
IFNA1	IFNA1	Gene Expression
IFNG	IFNG	Gene Expression
IFNGR1	IFNGR1	Gene Expression
IGBP1	IGBP1	Gene Expression
IGHA1_secreted	IGHA1_secreted	Gene Expression
IGHD_membrane	IGHD_membrane	Gene Expression
IGHE_secreted	IGHE_secreted	Gene Expression
IGHG1_membrane	IGHG1_membrane	Gene Expression
IGHG1_secreted	IGHG1_secreted	Gene Expression
IGHG2_secreted	IGHG2_secreted	Gene Expression
IGHG3_secreted	IGHG3_secreted	Gene Expression
IGHG4_secreted	IGHG4_secreted	Gene Expression
IGHM_membrane	IGHM_membrane	Gene Expression
IGHM_secreted	IGHM_secreted	Gene Expression
IGKC	IGKC	Gene Expression
IGLC3	IGLC3	Gene Expression
IKZF1	IKZF1	Gene Expression
IKZF2	IKZF2	Gene Expression
IL12A	IL12A	Gene Expression
IL12RB1	IL12RB1	Gene Expression
IL12RB2	IL12RB2	Gene Expression
IL13	IL13	Gene Expression
IL15	IL15	Gene Expression
IL15RA	IL15RA	Gene Expression
IL18	IL18	Gene Expression
IL18R1	IL18R1	Gene Expression
IL18RAP	IL18RAP	Gene Expression
IL1B	IL1B	Gene Expression
IL1R2	IL1R2	Gene Expression
IL1RL1	IL1RL1	Gene Expression
IL1RN	IL1RN	Gene Expression
IL2	IL2	Gene Expression
IL21	IL21	Gene Expression
IL22	IL22	Gene Expression
IL23R	IL23R	Gene Expression
IL2RA	IL2RA	Gene Expression
IL2RB	IL2RB	Gene Expression
IL3	IL3	Gene Expression
IL32	IL32	Gene Expression
IL3RA	IL3RA	Gene Expression
IL4	IL4	Gene Expression
IL4R	IL4R	Gene Expression
IL6	IL6	Gene Expression
IL7R	IL7R	Gene Expression
IRF4	IRF4	Gene Expression
IRF8	IRF8	Gene Expression
ITGA4	ITGA4	Gene Expression
ITGAE	ITGAE	Gene Expression
ITGAM	ITGAM	Gene Expression
ITGAX	ITGAX	Gene Expression
ITGB2	ITGB2	Gene Expression
IgD|IGHD|AHS0058|pAbO	IgD|IGHD|AHS0058|pAbO	Antibody Capture
IgM|IGHM|AHS0198|pAbO	IgM|IGHM|AHS0198|pAbO	Antibody Capture
JCHAIN	JCHAIN	Gene Expression
JUN	JUN	Gene Expression
JUNB	JUNB	Gene Expression
KCNE3	KCNE3	Gene Expression
KDELR1	KDELR1	Gene Expression
KIAA0101	KIAA0101	Gene Expression
KIR2DL1	KIR2DL1	Gene Expression
KIT	KIT	Gene Expression
KLRB1	KLRB1	Gene Expression
KLRC1	KLRC1	Gene Expression
KLRC3	KLRC3	Gene Expression
KLRC4	KLRC4	Gene Expression
KLRF1	KLRF1	Gene Expression
KLRG1	KLRG1	Gene Expression
KLRK1	KLRK1	Gene Expression
LAG3	LAG3	Gene Expression
LAIR2	LAIR2	Gene Expression
LAMP1	LAMP1	Gene Expression
LAMP3	LAMP3	Gene Expression
LAP3	LAP3	Gene Expression
LAT	LAT	Gene Expression
LAT2	LAT2	Gene Expression
LCK	LCK	Gene Expression
LEF1	LEF1	Gene Expression
LGALS1	LGALS1	Gene Expression
LGALS3	LGALS3	Gene Expression
LGALS9	LGALS9	Gene Expression
LIF	LIF	Gene Expression
LILRB4	LILRB4	Gene Expression
LIPA	LIPA	Gene Expression
LRRC32	LRRC32	Gene Expression
LTA	LTA	Gene Expression
LTB	LTB	Gene Expression
LY86	LY86	Gene Expression
LYN	LYN	Gene Expression
MCM2	MCM2	Gene Expression
MCM4	MCM4	Gene Expression
MGST1	MGST1	Gene Expression
MITF	MITF	Gene Expression
MKI67	MKI67	Gene Expression
MME	MME	Gene Expression
MMP12	MMP12	Gene Expression
MMP9	MMP9	Gene Expression
MS4A1	MS4A1	Gene Expression
MYC	MYC	Gene Expression
MZB1	MZB1	Gene Expression
NAMPT	NAMPT	Gene Expression
NCAM1	NCAM1	Gene Expression
NCR3	NCR3	Gene Expression
NINJ2	NINJ2	Gene Expression
NKG7	NKG7	Gene Expression
NRP1	NRP1	Gene Expression
NT5E	NT5E	Gene Expression
PASK	PASK	Gene Expression
PAX5	PAX5	Gene Expression
PCNA	PCNA	Gene Expression
PDCD1	PDCD1	Gene Expression
PDIA4	PDIA4	Gene Expression
PDIA6	PDIA6	Gene Expression
PIK3AP1	PIK3AP1	Gene Expression
PIK3IP1	PIK3IP1	Gene Expression
PMCH	PMCH	Gene Expression
POU2AF1	POU2AF1	Gene Expression
PRDM1	PRDM1	Gene Expression
PRF1	PRF1	Gene Expression
PSEN1	PSEN1	Gene Expression
PTGDR2	PTGDR2	Gene Expression
PTPRC	PTPRC	Gene Expression
PTTG2	PTTG2	Gene Expression
QPCT	QPCT	Gene Expression
RGS1	RGS1	Gene Expression
RNASE2	RNASE2	Gene Expression
RNASE6	RNASE6	Gene Expression
RORA	RORA	Gene Expression
RORC	RORC	Gene Expression
RPN2	RPN2	Gene Expression
RUNX3	RUNX3	Gene Expression
S100A10	S100A10	Gene Expression
S100A12	S100A12	Gene Expression
S100A9	S100A9	Gene Expression
SELL	SELL	Gene Expression
SELPLG	SELPLG	Gene Expression
SLC25A37	SLC25A37	Gene Expression
SLC7A7	SLC7A7	Gene Expression
SNCA	SNCA	Gene Expression
SPP1	SPP1	Gene Expression
STAT1	STAT1	Gene Expression
STAT3	STAT3	Gene Expression
STAT4	STAT4	Gene Expression
STAT5A	STAT5A	Gene Expression
STAT6	STAT6	Gene Expression
TARP_refseq	TARP_refseq	Gene Expression
TBX21	TBX21	Gene Expression
TCF4	TCF4	Gene Expression
TCF7	TCF7	Gene Expression
TCL1A	TCL1A	Gene Expression
TGFB1	TGFB1	Gene Expression
TGFB3	TGFB3	Gene Expression
TGFBI	TGFBI	Gene Expression
THBD	THBD	Gene Expression
THBS1	THBS1	Gene Expression
TIAF1	TIAF1	Gene Expression
TIGIT	TIGIT	Gene Expression
TLR2	TLR2	Gene Expression
TLR7	TLR7	Gene Expression
TLR8	TLR8	Gene Expression
TLR9	TLR9	Gene Expression
TMEM97	TMEM97	Gene Expression
TNF	TNF	Gene Expression
TNFRSF13C	TNFRSF13C	Gene Expression
TNFRSF17	TNFRSF17	Gene Expression
TNFRSF25	TNFRSF25	Gene Expression
TNFRSF4	TNFRSF4	Gene Expression
TNFRSF8	TNFRSF8	Gene Expression
TNFRSF9	TNFRSF9	Gene Expression
TNFSF10	TNFSF10	Gene Expression
TNFSF13	TNFSF13	Gene Expression
TNFSF13B	TNFSF13B	Gene Expression
TNFSF14	TNFSF14	Gene Expression
TNFSF8	TNFSF8	Gene Expression
TOP2A	TOP2A	Gene Expression
TPSAB1	TPSAB1	Gene Expression
TRAC	TRAC	Gene Expression
TRAT1	TRAT1	Gene Expression
TRBC2	TRBC2	Gene Expression
TRDC	TRDC	Gene Expression
TREM1	TREM1	Gene Expression
TRIB2	TRIB2	Gene Expression
TSPAN32	TSPAN32	Gene Expression
TXK	TXK	Gene Expression
TYMS	TYMS	Gene Expression
Tim3|HAVCR2|AHS0016|pAbO	Tim3|HAVCR2|AHS0016|pAbO	Antibody Capture
UBE2C	UBE2C	Gene Expression
VEGFA	VEGFA	Gene Expression
VMO1	VMO1	Gene Expression
VNN2	VNN2	Gene Expression
VPREB3	VPREB3	Gene Expression
VPS28	VPS28	Gene Expression
VSIG4	VSIG4	Gene Expression
XBP1	XBP1	Gene Expression
YBX3	YBX3	Gene Expression
ZAP70	ZAP70	Gene Expression
ZBED2	ZBED2	Gene Expression
ZBTB16	ZBTB16	Gene Expression
ZNF683	ZNF683	Gene Expression
