,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
213,TMEM97,-0.07807904,0.9972312030564394,CD72,-1.0236021,0.4692052952167474,IL4,-0.038081475,0.9970250550682733,IL6,-0.29030475,0.9786309157486645,SNCA,-1.1454178,0.41801116224499646,IL6,-0.2759082,0.9801047347168171,CD200,-0.5222751,0.8930334391565444,CD14:MPHIP9|CD14|AHS0037|pAbO,-0.23917413,0.9981223867297049,CXCR1,-0.06143428,0.9964171929169844,IL22,-0.021906663,0.9966164098819738,CLEC4D,-1.0764539,0.46535831017174933,TNFRSF25,-1.0613645,0.47659065742422535,RGS1,-0.45255905,0.9967477841110466,FASLG,-0.25414783,0.9979517131765093
214,IL2,-0.07807904,0.9972312030564394,JCHAIN,-1.0248855,0.4692052952167474,IL22,-0.038081475,0.9970250550682733,TCF4,-0.3075558,0.9700172733221738,IGHG2_secreted,-1.1582034,0.4109659681152308,TCF4,-0.28124192,0.9801047347168171,FOXP1,-0.5290655,0.8918611449096359,FCER1A,-0.24063714,0.9981223867297049,CCR8,-0.06143428,0.9964171929169844,IFNA1,-0.021906663,0.9966164098819738,CTLA4,-1.0798713,0.46472111686499634,CTLA4,-1.0681249,0.47345280341169865,IFNG,-0.45651865,0.9967477841110466,RORA,-0.26184925,0.9979517131765093
215,TNFRSF9,-0.07807904,0.9972312030564394,C1QA,-1.0424253,0.45933160791096855,CCR9,-0.038081475,0.9970250550682733,CMTM2,-0.30889383,0.9700172733221738,CXCR5,-1.1792679,0.40009440115214717,IL1R2,-0.29634586,0.9748352570052726,PTGDR2,-0.531771,0.8918611449096359,IL1R2,-0.24607956,0.9981223867297049,AIM2,-0.06796167,0.9964171929169844,EGR3,-0.024854347,0.9966164098819738,TNF,-1.1330533,0.428303233312571,BTG1,-1.0814297,0.4654630943016823,ZNF683,-0.4572174,0.9967477841110466,IL18RAP,-0.26698357,0.9979517131765093
216,FOXP1,-0.08621227,0.9972312030564394,KLRC1,-1.0559592,0.4514168787049969,IFNA1,-0.038081475,0.9970250550682733,IL1R2,-0.31180882,0.9700172733221738,CD72,-1.1895062,0.39491791584723557,TLR9,-0.29634586,0.9748352570052726,CXCL13,-0.5412669,0.8890223512361076,NCAM1,-0.24607956,0.9981223867297049,LAMP3,-0.06911357,0.9964171929169844,IL3,-0.029208884,0.9966164098819738,TRAT1,-1.1345483,0.428303233312571,CXCR3,-1.0849537,0.4647557772553121,CCND2,-0.4637391,0.9967477841110466,ZBTB16,-0.26698357,0.9979517131765093
217,CD9,-0.087043665,0.9972312030564394,CMKLR1,-1.0670041,0.44703351340514036,IL3,-0.0507753,0.9970250550682733,TNF,-0.32767403,0.9656322396282967,TGFB1,-1.2232094,0.37456537339521895,CASP5,-0.29679447,0.9748352570052726,IGHA1_secreted,-0.550975,0.8822064008569799,CCR5,-0.26100236,0.9981223867297049,KIT,-0.06911357,0.9964171929169844,CCR3,-0.029208884,0.9966164098819738,CNOT2,-1.1514925,0.41896340697440254,EGR1,-1.0983304,0.4567925117846743,CLEC4D,-0.46676704,0.9967477841110466,DUSP4,-0.2695507,0.9979517131765093
218,MME,-0.10931065,0.9972312030564394,IL18RAP,-1.0711266,0.44583812945387413,CD80,-0.0507753,0.9970250550682733,MYC,-0.34712324,0.9557153733680597,IGHG1_secreted,-1.2292348,0.37227243596495735,IRF4,-0.32645398,0.9576814036891341,PCNA,-0.5575002,0.8787006961556731,KLRC4,-0.27153608,0.9981223867297049,CCR10,-0.084472135,0.9964171929169844,MMP9,-0.029208884,0.9966164098819738,STAT1,-1.1607478,0.41431304827560755,TRAT1,-1.1222072,0.44133862112529554,CCR5,-0.4728229,0.9967477841110466,FTH1,-0.2798193,0.9979517131765093
219,CASP5,-0.11263624,0.9972312030564394,KLRC3,-1.1002946,0.4305492391037101,CCL20,-0.0507753,0.9970250550682733,CCL2,-0.3548169,0.9512016583649041,PRDM1,-1.2300676,0.37227243596495735,CCL2,-0.33722115,0.9521553943727472,JCHAIN,-0.5576593,0.8787006961556731,ENTPD1,-0.27165312,0.9981223867297049,EBF1,-0.084472135,0.9964171929169844,CD80,-0.029208884,0.9966164098819738,TNFRSF8,-1.1618868,0.41431304827560755,TNFRSF8,-1.1492482,0.4240044692268552,IKZF1,-0.47864583,0.9967477841110466,IGHG2_secreted,-0.28495362,0.9979517131765093
220,LRRC32,-0.124926455,0.9972312030564394,ADA,-1.1295792,0.4122291373958532,ZBED2,-0.05307946,0.9970250550682733,CXCL10,-0.376321,0.9361192872936063,BPI,-1.2834146,0.3431794097412967,CXCL10,-0.35765877,0.9393107401341325,CD28,-0.56975466,0.8758052760182892,CCL2,-0.28002158,0.9981223867297049,TGFB3,-0.084472135,0.9964171929169844,CCL3,-0.033697404,0.9966164098819738,F5,-1.1755561,0.4076129255298613,F5,-1.1627688,0.41636961321852906,SNCA,-0.49727926,0.9967477841110466,IFNG,-0.28752077,0.9979517131765093
221,CCR8,-0.124926455,0.9972312030564394,KIR2DL1,-1.2238113,0.35643304076446486,IGHG3_secreted,-0.0589027,0.9970250550682733,BACH2,-0.3839191,0.9316732176217575,CD1C,-1.2938489,0.3383592953866412,IGHA1_secreted,-0.358905,0.9393107401341325,GITR|TNFRSF18|AHS0104|pAbO,-0.57627976,0.8722948623675019,VSIG4,-0.28171867,0.9981223867297049,EGR3,-0.088567756,0.9964171929169844,IL2,-0.036511105,0.9966164098819738,KLRG1,-1.1755561,0.4076129255298613,KLRG1,-1.1627688,0.41636961321852906,BPI,-0.5013553,0.9967477841110466,IL4R,-0.2900879,0.9979517131765093
222,CXCR1,-0.124926455,0.9972312030564394,THBS1,-1.2666688,0.33234797094374036,IL2,-0.06346913,0.9970250550682733,CNOT2,-0.40499306,0.9139768237926384,PCNA,-1.2955145,0.3383592953866412,CR2,-0.38831526,0.9181788439948017,TNFRSF4,-0.5887465,0.8625885637364935,CXCR2,-0.28300613,0.9981223867297049,MCM2,-0.091383494,0.9964171929169844,THBS1,-0.03731502,0.9966164098819738,TRBC2,-1.1863776,0.4036683734577048,KLRF1,-1.1695291,0.41636961321852906,NINJ2,-0.51288474,0.9967477841110466,IER3,-0.29778937,0.9979517131765093
223,LIF,-0.124926455,0.9972312030564394,PAX5,-1.2775971,0.32736154459920463,TNFRSF9,-0.06346913,0.9970250550682733,CR2,-0.40857705,0.9134518929961205,TCL1A,-1.3348022,0.3185921712899369,PTTG2,-0.4072076,0.902954850573781,TRAT1,-0.6405231,0.8126248092514773,PDCD1,-0.29529548,0.9981223867297049,ADGRG3,-0.09983071,0.9964171929169844,MME,-0.051115546,0.9966164098819738,ICOS,-1.250737,0.3632929160181877,CLEC4D,-1.2303717,0.3810754046249994,GZMK,-0.53035355,0.9963674636321425,BPI,-0.31575942,0.9979517131765093
224,THBD,-0.1336019,0.9972312030564394,SLC25A37,-1.2879031,0.3227764740881065,TMEM97,-0.06346913,0.9970250550682733,VSIG4,-0.42730948,0.9010389500197004,CTSW,-1.3585609,0.3065025657848581,CMTM2,-0.4087529,0.902954850573781,BLNK,-0.66471374,0.7943973208132334,IGHA1_secreted,-0.32010826,0.988820697358482,IGHG3_secreted,-0.09983071,0.9964171929169844,LRRC32,-0.058417767,0.9966164098819738,STAT6,-1.2509506,0.3632929160181877,CCR7|CCR7|AHS0273|pAbO,-1.2367004,0.37857901229614055,IL3RA,-0.53803986,0.9915399686309396,CD1C,-0.31832656,0.9979517131765093
225,KIT,-0.14054227,0.9972312030564394,IGHG1_secreted,-1.290392,0.3226551807968904,CXCL9,-0.06346913,0.9970250550682733,MITF,-0.44083315,0.8907555917484281,ZNF683,-1.3664478,0.30343621377763025,VMO1,-0.41897172,0.8973831102177359,FUT4,-0.69940835,0.765864844838689,UBE2C,-0.3224491,0.988820697358482,CCR4,-0.09983071,0.9964171929169844,CXCR1,-0.058417767,0.9966164098819738,VEGFA,-1.271241,0.3550697813390637,IL15RA,-1.2680566,0.36168531310702534,TCL1A,-0.5706483,0.9700465563929682,BCL2,-0.3208937,0.9979517131765093
226,MCM4,-0.14090374,0.9972312030564394,TARP_refseq,-1.3334051,0.3000755797478993,GITR|TNFRSF18|AHS0104|pAbO,-0.07281145,0.9970250550682733,VMO1,-0.44083315,0.8907555917484281,IL3RA,-1.377323,0.29874897656602234,MITF,-0.41897172,0.8973831102177359,C1QA,-0.701212,0.765864844838689,CR2,-0.3224491,0.988820697358482,RORC,-0.10750999,0.9964171929169844,CCR8,-0.058417767,0.9966164098819738,ZNF683,-1.2849102,0.3481547766737427,ZNF683,-1.2709334,0.36143894783973446,CHI3L2,-0.5747244,0.9693903699280665,FUT4,-0.33372945,0.9979517131765093
227,IL3RA,-0.14722958,0.9972312030564394,ZBTB16,-1.3612509,0.2864827736688728,C1QB,-0.08412277,0.9970250550682733,CASP5,-0.45779747,0.8800532303298717,CXCL2,-1.396477,0.2896459951441531,CD1A,-0.43940938,0.8833734316070476,CD24,-0.7026974,0.765864844838689,CXCR6,-0.3224491,0.988820697358482,IL21,-0.10750999,0.9964171929169844,LIF,-0.058417767,0.9966164098819738,CD25:2A3|IL2RA|AHS0026|pAbO,-1.3338916,0.3204899217958944,PSEN1,-1.2850293,0.3541618994698603,ICAM1,-0.5794992,0.9693903699280665,F13A1,-0.33501303,0.9979517131765093
228,EBF1,-0.17177388,0.9897613596299292,CD9,-1.3966414,0.2695477609459497,MMP12,-0.08885677,0.9970250550682733,TSPAN32,-0.4584187,0.8800532303298717,VPREB3,-1.3981915,0.2896459951441531,ITGAE,-0.44937894,0.8790695104575801,IRF4,-0.7256149,0.7489197987164173,IKZF2,-0.33017382,0.988820697358482,TNFRSF17,-0.10750999,0.9964171929169844,LAMP3,-0.065719984,0.9966164098819738,CLEC10A,-1.3928403,0.28907609200826995,ATF6B,-1.2935156,0.35043762140073664,KDELR1,-0.5992972,0.9531135516469431,VPREB3,-0.34399804,0.9979517131765093
229,VMO1,-0.18070236,0.9872691883234976,TNFRSF8,-1.4027861,0.26758244659186864,CCR8,-0.1015506,0.9970250550682733,CD1A,-0.4623372,0.8800532303298717,CTLA4,-1.4064213,0.28685642989683563,FCER1A,-0.47006583,0.8623498607655069,FOXP3,-0.74068105,0.7371095846040125,AURKB,-0.33029085,0.988820697358482,AURKB,-0.1085339,0.9964171929169844,PTGDR2,-0.06967256,0.9966164098819738,IL1RN,-1.3942642,0.28907609200826995,IKZF1,-1.2978307,0.3493082521390641,ITGAE,-0.6082645,0.9467902305652713,POU2AF1,-0.34913236,0.9979517131765093
230,ADGRG3,-0.2030055,0.9781866924883615,TIAF1,-1.4179145,0.26121315716868887,LIF,-0.1015506,0.9970250550682733,PTGDR2,-0.47853693,0.868570320031748,TARP_refseq,-1.5156137,0.23821512370637868,DPP4,-0.47385427,0.861549376773358,EGR3,-0.7646596,0.7167806818858611,IL2RA,-0.33093458,0.988820697358482,C1QB,-0.11518928,0.9964171929169844,CCR10,-0.08032443,0.9966164098819738,GZMK,-1.4010988,0.28717591407897874,FAS,-1.3534232,0.3190024326450181,TXK,-0.61548495,0.9424878601934417,SLC25A37,-0.35940096,0.9979517131765093
231,CCR4,-0.2030055,0.9781866924883615,MYC,-1.4218425,0.26036775960787734,CXCR1,-0.1015506,0.9970250550682733,FCER1A,-0.4945933,0.8587186275889643,F5,-1.5467206,0.2261259115740544,PIK3IP1,-0.47639653,0.861549376773358,THBS1,-0.79086614,0.694607216614632,TCF4,-0.33942008,0.988820697358482,IGHG1_membrane,-0.11518928,0.9964171929169844,EBF1,-0.08032443,0.9966164098819738,TREM1,-1.4604746,0.26025284584659686,IL1RN,-1.3790979,0.30712440093945437,ENTPD1,-0.61979395,0.9415539997308825,CHI3L2,-0.3619681,0.9979517131765093
232,IGHG3_secreted,-0.2030055,0.9781866924883615,CNOT2,-1.4655167,0.2407199876173368,IGHG1_secreted,-0.1082955,0.9970250550682733,TNFRSF13C,-0.5053453,0.8511328545580964,IGLC3,-1.5684218,0.21856579776618526,TNFRSF13C,-0.48028466,0.8610642135658142,IGHG1_secreted,-0.8061975,0.6829187872161194,CMTM2,-0.33942008,0.988820697358482,CD274,-0.13054785,0.9964171929169844,TGFB3,-0.08032443,0.9966164098819738,NINJ2,-1.4616138,0.26025284584659686,GZMK,-1.3858582,0.30469550766093545,IL12RB1,-0.63109046,0.9325385388876558,IGHG1_secreted,-0.3619681,0.9979517131765093
233,IL21,-0.2186213,0.9751259684538794,TGFB1,-1.5222582,0.2166029641590397,LAMP3,-0.114244424,0.9970250550682733,CXCL3,-0.5268494,0.8331251331515643,IL15,-1.5802279,0.21444387565594053,CD24,-0.4994761,0.8482059256556859,FLT3,-0.8261443,0.6671329568238805,IL12RB2,-0.33942008,0.988820697358482,IL1RL1,-0.13054785,0.9964171929169844,DPP4,-0.090105385,0.9966164098819738,IL15RA,-1.483328,0.2535982773689734,TIGIT,-1.4269953,0.2835346354076914,CXCL2,-0.63994133,0.9263564462547675,ENTPD1,-0.37242007,0.9979517131765093
234,RORC,-0.2186213,0.9751259684538794,FUT4,-1.5224526,0.2166029641590397,EBF1,-0.13963208,0.9970250550682733,IGHA1_secreted,-0.53530765,0.8277888951071228,FCER2,-1.5860083,0.21294848094836866,CXCL3,-0.5007223,0.8482059256556859,MZB1,-0.8339426,0.6651606667946478,DPP4,-0.3501879,0.988820697358482,TCF4,-0.14385861,0.9964171929169844,ADGRG3,-0.09492887,0.9966164098819738,PSEN1,-1.4849654,0.2535982773689734,PCNA,-1.4310945,0.28263849504814614,TNFRSF25,-0.63994133,0.9263564462547675,TXK,-0.3876396,0.9979517131765093
235,TNFRSF17,-0.2186213,0.9751259684538794,IKZF1,-1.5588543,0.20319913687906802,TGFB3,-0.13963208,0.9970250550682733,KLRF1,-0.57420605,0.798816503010895,PDIA4,-1.6050153,0.20684158249056175,VSIG4,-0.52115995,0.8357829429824495,PAX5,-0.8641279,0.6401101026837428,EOMES,-0.37265986,0.971261276498304,VMO1,-0.15070598,0.9964171929169844,CCR4,-0.09492887,0.9966164098819738,ATF6B,-1.4860333,0.2535982773689734,PRDM1,-1.435985,0.281327382513695,TIGIT,-0.66532934,0.9051871112281915,FCER2,-0.39020675,0.9979517131765093
236,HMMR,-0.22086245,0.9751259684538794,CD1C,-1.647175,0.17205512424808875,TNFSF14,-0.1434444,0.9970250550682733,FOXO1,-0.5837634,0.7924542643332514,TNFRSF8,-1.6564518,0.18701025761617748,PDCD1,-0.53137875,0.8287501158308322,ITGAM,-0.8779739,0.6327461977071029,EGR3,-0.37464955,0.971261276498304,HMMR,-0.1535857,0.9964171929169844,IGHG3_secreted,-0.09492887,0.9966164098819738,FAS,-1.5377914,0.23119930395668545,TRDC,-1.4656872,0.2671343515977923,PSEN1,-0.66532934,0.9051871112281915,TNFRSF25,-0.4030425,0.9979517131765093
237,IGHG1_membrane,-0.2342371,0.9720431925029561,SNCA,-1.7128224,0.15060445396718766,FAM129C,-0.16011815,0.9970250550682733,CD45RA:HI100|PTPRC|AHS0009|pAbO,-0.63843155,0.7437723635593285,XBP1,-1.6666411,0.1839575430243039,CD200,-0.56203526,0.8076880751816811,CTLA4,-0.93802625,0.5871000699109169,TNFRSF4,-0.38003346,0.971261276498304,ZBED2,-0.16126499,0.9964171929169844,NINJ2,-0.10035529,0.9966164098819738,ADGRE1,-1.5443412,0.22927669165301054,ENTPD1,-1.524444,0.23953139866268094,TRAT1,-0.67662585,0.9002057172995417,CTLA4,-0.40560964,0.9979517131765093
238,C1QB,-0.2342371,0.9720431925029561,BPI,-1.726862,0.1467971063724004,FCER1A,-0.16053708,0.9970250550682733,TNFRSF4,-0.66662574,0.7204355983620314,KLRF1,-1.6764386,0.18109073783842436,PTGDR2,-0.57225406,0.8034623174624296,CD72,-0.9422702,0.58585127652714,TOP2A,-0.38184762,0.971261276498304,BLK,-0.16126499,0.9964171929169844,RORC,-0.10223109,0.9966164098819738,AQP9,-1.5510335,0.2273023600194038,CLEC10A,-1.5413448,0.23277326396621098,TIAF1,-0.6899022,0.8889970176028016,CXCR5,-0.4081768,0.9979517131765093
239,IL6,-0.23843023,0.9720431925029561,STAT1,-1.8285221,0.1181470390923072,PMCH,-0.16087224,0.9970250550682733,TGFB1,-0.6671514,0.7204355983620314,CD22,-1.773825,0.14783606654573309,CXCL13,-0.58247286,0.7964504102707198,FOXO1,-0.96667314,0.5673026922920473,LTB,-0.3869389,0.971261276498304,FAM129C,-0.16126499,0.9964171929169844,IL21,-0.10223109,0.9966164098819738,ITGAE,-1.5615702,0.22362417843822752,BCL11B,-1.5506941,0.22957119227523626,TNFRSF8,-0.6929301,0.8889970176028016,NAMPT,-0.40891027,0.9979517131765093
240,MKI67,-0.25151572,0.970259620036042,IL3RA,-1.8532177,0.11277607517293296,CCR4,-0.16501972,0.9970250550682733,CD24,-0.6751318,0.7177237809945423,TLR7,-1.7842593,0.14520415039400364,CD28,-0.6131293,0.7754741332289361,PASK,-0.9719781,0.5651592817085722,TNFRSF13C,-0.3988186,0.9641471238533583,MKI67,-0.16894427,0.9964171929169844,IGHG1_membrane,-0.10953331,0.9966164098819738,BCL11B,-1.5726765,0.21973883220793927,LEF1,-1.5726291,0.2207866071824116,KLRG1,-0.7010822,0.8841555831363671,TRAT1,-0.42614684,0.9979517131765093
241,TNFSF14,-0.25390145,0.970259620036042,VPREB3,-1.8812968,0.10631337709951036,IRF4,-0.17364985,0.9970250550682733,CXCR2,-0.7311379,0.6723245748596377,STAT5A,-1.7899908,0.14408556916322346,CXCL5,-0.6196096,0.7720496951824324,CD196|CCR6|AHS0034|pAbO,-0.9871503,0.5546896149347998,KIAA0101,-0.3988186,0.9641471238533583,NRP1,-0.17662355,0.9964171929169844,FAS,-0.1377373,0.9966164098819738,F13A1,-1.5740292,0.21973883220793927,TRBC2,-1.5765126,0.22010492127452913,F5,-0.7010822,0.8841555831363671,NCR3,-0.42871398,0.9979517131765093
242,FOSB,-0.2997729,0.9383601126487342,IGKC,-1.9416162,0.0929733700564097,IL21,-0.17771354,0.9970250550682733,BLNK,-0.752642,0.6566328467043577,IGHD_membrane,-1.8051279,0.14004980115904378,JCHAIN,-0.62000835,0.7720496951824324,CD62L:DREG-56|SELL|AHS0049|pAbO,-0.99282664,0.5522537050594672,PTTG2,-0.40367582,0.9641471238533583,FOSL1,-0.19966142,0.9964171929169844,IGHG2_secreted,-0.14490554,0.9966164098819738,TIGIT,-1.6129723,0.20544440187233595,NINJ2,-1.6034818,0.2096875643158591,KLRF1,-0.7051583,0.8841555831363671,CD22,-0.43641543,0.9979517131765093
243,ZBED2,-0.32793194,0.915797439879881,TCL1A,-1.965534,0.08831494983494423,TNFRSF17,-0.17771354,0.9970250550682733,FCGR3A,-0.7651143,0.6495878854019501,VEGFA,-1.8212446,0.13580791055941951,CD79B,-0.6422405,0.7587590905965436,DUSP4,-0.99707067,0.5510251226667319,IRF4,-0.41374138,0.9620066406256643,NT5E,-0.2073407,0.9964171929169844,IL18R1,-0.15073392,0.9966164098819738,IL12RB1,-1.6388869,0.19575647864701431,IL12RB1,-1.6136942,0.2070964867503646,STAT4,-0.7296146,0.871446397579804,TNFRSF8,-0.43641543,0.9979517131765093
244,PMCH,-0.32793194,0.915797439879881,FYN,-1.9967631,0.08241046419944653,IGHG1_membrane,-0.19040737,0.9970250550682733,JCHAIN,-0.78489804,0.6347677965040504,ADA,-1.8248696,0.13537778130127195,CD72,-0.64842165,0.758340294344006,SNCA,-1.0266194,0.5288369700070991,TYMS,-0.4157896,0.9620066406256643,TNFSF14,-0.21501999,0.9964171929169844,BLK,-0.15334663,0.9966164098819738,CXCR3,-1.6732737,0.18492096426561405,LAG3,-1.675112,0.1842124828069927,CNOT2,-0.7331084,0.871446397579804,F5,-0.44154975,0.9979517131765093
245,BLK,-0.32793194,0.915797439879881,FCER2,-2.0402818,0.07526555986195711,APOBEC3G,-0.21227594,0.9970250550682733,IGHG1_secreted,-0.79502887,0.6283446369974978,TRDC,-1.8290826,0.13477448020522378,MZB1,-0.65520096,0.754635563475236,CHI3L2,-1.0680512,0.49779032214862073,MYC,-0.44914642,0.9320175642586276,TLR9,-0.22269927,0.9964171929169844,FAM129C,-0.15334663,0.9966164098819738,IL18,-1.6753383,0.18492096426561405,VNN2,-1.6814408,0.1826683371700843,CCR7,-0.7435897,0.8634578350707458,KLRG1,-0.44154975,0.9979517131765093
246,FAM129C,-0.32793194,0.915797439879881,IL15,-2.0636163,0.07145328222191262,CD161:HP-3G10|KLRB1|AHS0205|pAbO,-0.21370032,0.9970250550682733,CMKLR1,-0.8171541,0.6139886009182458,CLEC4D,-1.8990363,0.11568651565846812,PIK3AP1,-0.68281674,0.7339885243103572,SLC25A37,-1.0685287,0.49779032214862073,CD38,-0.449322,0.9320175642586276,NCAM1,-0.22269927,0.9964171929169844,PMCH,-0.15334663,0.9966164098819738,TRDC,-1.6813186,0.18360207351648442,PIK3AP1,-1.7038792,0.17509072790410637,ICOS,-0.74591887,0.8634578350707458,KLRF1,-0.4441169,0.9979517131765093
247,NT5E,-0.3310768,0.915797439879881,CXCL2,-2.107096,0.06481710374585894,IgD|IGHD|AHS0058|pAbO,-0.2186438,0.9970250550682733,IGHG2_secreted,-0.83454853,0.6024972547634833,LAIR2,-1.9176513,0.11140265110642658,TNFRSF25,-0.7040519,0.716829834208927,CD244,-1.1238596,0.461990410536711,CD160,-0.4582171,0.9292005429489351,VSIG4,-0.2277548,0.9964171929169844,CCND2,-0.16949192,0.9966164098819738,IKZF1,-1.6959846,0.17890063914028725,LY86,-1.7161052,0.17144513398940417,VEGFA,-0.75814706,0.85482282525537,IL15,-0.44668403,0.9979517131765093
248,AURKB,-0.33132982,0.915797439879881,IGHD_membrane,-2.1414752,0.05978262643415214,FCER2,-0.22186962,0.9970250550682733,CD244,-0.8408564,0.6006426033363415,IGHM_secreted,-1.9668344,0.09987332210173333,EGR3,-0.7143704,0.7098873211029217,IL3RA,-1.1261407,0.461990410536711,MCM2,-0.4582171,0.9292005429489351,IGHA1_secreted,-0.23357825,0.9964171929169844,KIAA0101,-0.17391343,0.9966164098819738,LY86,-1.7162037,0.1722495387596923,TCF7,-1.7681738,0.15406368997062625,TBX21,-0.7659498,0.8539250891810916,PASK,-0.44668403,0.9979517131765093
249,TLR9,-0.36165774,0.9008737955321535,CD8B,-2.1749213,0.05521230837106953,NT5E,-0.23586215,0.9878695567388383,POU2AF1,-0.85872865,0.5878967606175576,MS4A1,-1.9825103,0.09674118605227491,BLNK,-0.71531755,0.7098873211029217,CD9,-1.1353714,0.45849845418497925,CD200,-0.46670264,0.9269885124839546,CD9,-0.23588204,0.9964171929169844,CLEC4D,-0.17478435,0.9966164098819738,BCL6,-1.7169156,0.1722495387596923,TARP_refseq,-1.7711945,0.1538107348407609,LAG3,-0.79215306,0.8281267811970675,TNFSF13B,-0.44961792,0.9979517131765093
250,NCAM1,-0.36201924,0.9008737955321535,CCL5,-2.2100785,0.050744003303389705,CD38,-0.25270346,0.9807895677202648,PIK3IP1,-0.8716788,0.5836586157381375,PSEN1,-1.999166,0.09347176984000033,THBS1,-0.73440933,0.6991900655116187,POU2AF1,-1.1588194,0.44310200809708394,CXCL13,-0.48367363,0.9127257765338797,PDCD1,-0.23780186,0.9964171929169844,AZU1,-0.1752533,0.9966164098819738,GAB2,-1.761056,0.15800696125024843,TREM1,-1.7967972,0.14689588307753795,STAT3,-0.82289815,0.8053408094114035,TRIB2,-0.45695263,0.9979517131765093
251,C1QA,-0.38143054,0.8906105300705389,TBX21,-2.2247403,0.049297516425508794,HMMR,-0.2538765,0.9807895677202648,EGR3,-0.8989651,0.5653876848028747,IL15RA,-2.0078368,0.09202799817165541,RGS1,-0.7901393,0.6513536890108235,BPI,-1.167997,0.4383435663715986,BACH2,-0.49215913,0.9072271237565949,KLRC4,-0.24573712,0.9964171929169844,IGHG1_secreted,-0.18717803,0.9966164098819738,FAM65B,-1.7866858,0.15018518005725637,IL18,-1.8252766,0.13863694919716896,FOXO1,-0.823364,0.8053408094114035,CCND2,-0.4646541,0.9979517131765093
252,KLRC4,-0.40933657,0.8699231703254302,IGLC3,-2.2364852,0.04804913199266245,BLK,-0.26657033,0.9764800130625008,PDIA4,-0.92147267,0.5493430463014346,IL2RB,-2.0656416,0.08089710976130512,CCR5,-0.7947751,0.64967044493974,CD1C,-1.177493,0.43445989394644363,IGHG2_secreted,-0.49789417,0.9045588711636158,FOXO1,-0.26288754,0.9964171929169844,NT5E,-0.19715996,0.9966164098819738,TARP_refseq,-1.7906727,0.1496255140920869,STAT6,-1.8316054,0.13738779728280867,CD8B,-0.8277894,0.8053408094114035,CLEC4D,-0.46722123,0.9979517131765093
253,CD52,-0.42310885,0.8597619660774966,KLRF1,-2.2378075,0.04804913199266245,MKI67,-0.27926415,0.9710961714839219,THBS1,-0.92410094,0.549306708919146,ATF6B,-2.0817094,0.07818750082024221,FOXP3,-0.7970681,0.64967044493974,ITGA4,-1.179774,0.43445989394644363,CD28,-0.5091301,0.8994573661577883,CXCL10,-0.268775,0.9964171929169844,FOXP1,-0.20694092,0.9966164098819738,VNN2,-1.8258425,0.13915872772345142,IL1B,-1.8539,0.13160421396690353,IL1RN,-0.83151615,0.8053408094114035,ICOS,-0.46978837,0.9979517131765093
254,PTTG2,-0.46110007,0.8324320794631352,ATF6B,-2.2623086,0.045355705040217284,NCAM1,-0.3681209,0.89757868651386,FLT3,-0.9354264,0.5422965058878685,CD278|ICOS|AHS0012|pAbO,-2.086167,0.07773763216094677,FUT4,-0.81152403,0.6421223952683102,RGS1,-1.1909676,0.4294407737207968,FOXP3,-0.51767415,0.8938831009108097,CD70,-0.27645427,0.9964171929169844,TLR9,-0.2117644,0.9966164098819738,TBX21,-1.8262696,0.13915872772345142,CD27,-1.8585746,0.13132489781976195,IRF8,-0.89091015,0.7570884192876542,VEGFA,-0.47748983,0.9979517131765093
255,IGHA1_secreted,-0.4888615,0.8120236192071713,ZNF683,-2.262503,0.045355705040217284,UBE2C,-0.37721187,0.8918098819745965,C1QA,-0.94617844,0.5378371229429076,LAG3,-2.1090932,0.07385548383726699,IL7R,-0.8336565,0.6250970589172655,TCL1A,-1.1979702,0.42743653860368197,CD72,-0.5305487,0.8869808711920482,CXCL13,-0.27805412,0.9964171929169844,NCAM1,-0.2117644,0.9966164098819738,LAG3,-1.8590189,0.1305278027812124,AQP9,-1.859078,0.13132489781976195,STAT1,-0.90022683,0.7507190710137388,CTSW,-0.4776732,0.9979517131765093
256,CXCR6,-0.50295913,0.8016522403007628,CD22,-2.284904,0.04315606577290321,IL2RA,-0.388607,0.8838735806042427,PAX5,-0.97843456,0.5204928247808568,CD79A,-2.1160493,0.07297379779657505,BTLA,-0.841034,0.621042524740988,VPREB3,-1.2724521,0.3785877535998821,IL1RN,-0.5893035,0.8333102031465931,UBE2C,-0.29181284,0.9915941011923105,CASP5,-0.22643584,0.9966164098819738,IL1B,-1.8615819,0.1304393546291503,ADGRE1,-1.8725986,0.12880010192892846,HLA-DMA,-0.9208401,0.7322143058299345,GNAI2,-0.48079047,0.9979517131765093
