,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
27,Tim3|HAVCR2|AHS0016|pAbO,17.486126,2.5713811625805712e-67,CD3G,6.700744,7.621920609446544e-11,LGALS9,16.587143,1.257974006606643e-60,LAT,9.4809475,2.2350016109127938e-20,CCR7|CCR7|AHS0273|pAbO,6.0832253,4.491374922813916e-09,LAIR2,9.1953945,3.7179720705601028e-19,TBX21,8.073965,5.048192372871393e-15,NAMPT,7.557071,3.2345443663768944e-13,LY86,10.14504,5.080137840558653e-23,LIPA,5.3233857,7.420744031323098e-07,CD24,5.06389,1.8021598925923793e-06,JCHAIN,4.0274754,0.00019660379125270206,IGHG3_secreted,2.0112443,0.15061888050355243,LILRB4,3.2604635,0.012966276258462077
28,ITGAM,17.346197,2.866073836927746e-66,CD247,6.507652,2.7319742810802946e-10,IL1B,16.296232,1.4767855077299991e-58,CD28:L293|CD28|AHS0138|pAbO,9.412277,4.214562504038982e-20,TRAT1,5.9276915,1.1395196494923735e-08,Tim3|HAVCR2|AHS0016|pAbO,8.890974,5.884499340690942e-18,CD5,7.8765135,2.32797240702903e-14,C10orf54,7.358686,1.4032866233142952e-12,CD4,10.092501,8.389439379349454e-23,FCER1G,5.3090496,7.887888792297437e-07,MZB1,4.837137,5.3742812348946005e-06,IGHG2_secreted,4.006403,0.0002131640212835988,IgD|IGHD|AHS0058|pAbO,1.9950564,0.15523128178234288,TLR7,3.2401097,0.013175507069248553
29,CD4,17.324219,4.0649545714628497e-66,TCF7,6.338711,7.94385047629501e-10,GNAI2,15.852366,1.8412300898455882e-55,CD27,9.098413,7.479508681743545e-19,CD7,5.8540635,1.747497424347729e-08,IL32,8.828265,9.858015467658224e-18,CD8B,7.656887,1.2336740331339962e-13,TNFRSF8,7.317195,1.878341662381627e-12,ANXA5,9.8916235,6.155745368928857e-22,TNFSF10,5.1670246,1.6173798906614957e-06,IL4R,4.3783627,4.39516183566709e-05,IGHA1_secreted,2.9962442,0.007586232406590496,CD137|TNFRSF9|AHS0003|pAbO,1.815244,0.2069376816557545,HLA-DRA,3.1407242,0.01809486865775945
30,GNAI2,17.22156,2.3331020475107153e-65,PIK3IP1,6.224217,1.6318911307405222e-09,CD44,15.664012,3.507994747513897e-54,GZMK,8.5959835,5.708864446595904e-17,CD247,5.792389,2.5054920317376055e-08,HLA-A,8.8195915,1.0415612492383051e-17,ARL4C,7.3816648,9.663553307325733e-13,TNFSF13,7.300985,2.08130374850333e-12,LGALS9,9.831917,1.0797806693383265e-21,CD63,5.108071,2.17687778584519e-06,TNFRSF13C,4.355367,4.791649385165193e-05,BLNK,2.9789839,0.007972706373604123,TNFRSF17,1.7140412,0.2532712787678365,FCER1A,3.1113853,0.01885514858732508
31,LY86,16.958982,1.9821368173917158e-63,LEF1,6.079116,3.9762614735109505e-09,HLA-A,15.574359,1.3863960869728115e-53,GZMH,8.572281,6.898935414234143e-17,CD45RA:HI100|PTPRC|AHS0009|pAbO,3.7188601,0.0005592499222994,LCK,8.744421,1.945921574397435e-17,IL2RB,7.353177,1.161300300629382e-12,CD86,7.1259494,7.148004693029057e-12,LYN,9.698937,3.884358779909724e-21,FTH1,5.1015725,2.216642992724707e-06,CD40,4.2902246,6.171610074712668e-05,CCR7,2.900737,0.009992939947725103,GITR|TNFRSF18|AHS0104|pAbO,1.6969218,0.25959058147376085,LTB,2.9082139,0.031554868032085986
32,DUSP1,16.814863,2.214079559285487e-62,LTB,6.0136237,5.921589947035766e-09,CD163,15.426977,1.3328341818396605e-52,PRF1,8.238777,1.0594572903925955e-15,CD8B,3.6607125,0.000693365370130047,CD63,8.523396,1.2901379246825827e-16,FCGR3A,7.2903132,1.7770137606200451e-12,IL3RA,6.980467,2.0005654611371038e-11,TNFSF13B,9.694905,3.9184178620977424e-21,CD33,4.9747553,4.100724997961307e-06,CD74,3.9853003,0.00021651252135676224,IGHG1_secreted,2.7200794,0.01706963456869439,BLK,1.6808505,0.26558940751100224,NRP1,2.7281466,0.049030278759784995
33,CD63,16.659174,2.941951166747893e-61,LAG3,5.7950196,2.177485884268492e-08,LAMP1,15.249473,1.9916102352465002e-51,TARP_refseq,8.182675,1.6656592368948992e-15,CD25:2A3|IL2RA|AHS0026|pAbO,3.6438608,0.0007354367735406287,IL18RAP,8.45301,2.2711007036247054e-16,CD247,7.286494,1.8027128897810725e-12,TSPAN32,6.864069,4.404176143502323e-11,CD74,9.690362,3.976227519954458e-21,TNFSF13B,4.96618,4.221228099144198e-06,HLA-DRA,3.7090673,0.0006429833572291963,HLA-DRA,2.674771,0.019310354231993475,HLA-DQB1,1.6279781,0.2913106525663506,LYN,2.5469792,0.07388874038523771
34,RNASE6,16.11414,2.2381649847185902e-57,IL7R,5.661469,4.74680257719679e-08,CLEC4E,15.1132345,1.5442775755392562e-50,CD247,8.123802,2.671523345942865e-15,BCL2,3.3620377,0.0020235111617510405,CD134:ACT35|TNFRSF4|AHS0013|pAbO,8.443838,2.409436165317322e-16,TARP_refseq,7.2353535,2.595090160354596e-12,TIAF1,6.6665616,1.6437096082828325e-10,SLC7A7,9.576197,1.1736944407347358e-20,C10orf54,4.9504366,4.509139175630566e-06,CCR7,3.6163728,0.0009086450868128769,CD37,2.564305,0.02556899668213527,TNFRSF13C,1.5769691,0.31863584267681533,IL18R1,2.5121393,0.0802634379672354
35,CD44,15.882143,9.045771356948104e-56,LAIR2,5.56677,8.144444966591626e-08,CD37,14.760405,2.907764818325095e-48,CD69,8.106934,3.0258012600061154e-15,TNFRSF25,3.315696,0.0023457496655160085,GITR|TNFRSF18|AHS0104|pAbO,8.420808,2.878294573474668e-16,KLRG1,6.089107,5.450026045636509e-09,ITGA4,6.4825726,5.491048301666984e-10,CD44,9.249827,2.5483725790198444e-19,GNAI2,4.8119626,8.837363784608086e-06,CD37,3.5428293,0.0011619452579150805,CD74,2.4599524,0.03300779969031535,CD161:HP-3G10|KLRB1|AHS0205|pAbO,1.3763106,0.43569622145669334,PIK3AP1,2.4395256,0.09677864586496336
36,IFITM3,15.739396,8.496367779399705e-55,CD134:ACT35|TNFRSF4|AHS0013|pAbO,5.539391,9.453301494202022e-08,SELL,14.737615,3.9684719177393095e-48,RGS1,6.9313784,2.0242603963652866e-11,TXK,2.9234557,0.008259481962062344,CCL4,8.332428,5.87528608990182e-16,CD161:HP-3G10|KLRB1|AHS0205|pAbO,6.060725,6.428800271304227e-09,GIMAP2,6.4605103,6.26102667333151e-10,HLA-DRA,9.240804,2.697788339600322e-19,TNFSF13,4.668665,1.7670106002992623e-05,CD69,3.461241,0.0015449158980806376,CD40,2.4594488,0.03300779969031535,CD279:EH12-1|PDCD1|AHS0014|pAbO,1.2582213,0.5119950879015143,LAP3,2.348575,0.11307236095937118
37,LILRB4,15.532451,2.1341435397016656e-53,CD7,5.477516,1.33322615424269e-07,SLC7A7,14.728313,4.437335347628459e-48,CD7,6.7319164,7.852493543375834e-11,PASK,2.9211044,0.008273694508980257,CCR7|CCR7|AHS0273|pAbO,8.081643,4.495032299824901e-15,LAT,6.0501685,6.761784767069477e-09,LGALS1,6.4141035,8.376062650275576e-10,KCNE3,9.119407,8.110227627981717e-19,RNASE6,4.631953,2.0815639415385294e-05,CR2,3.3448386,0.0023007410511344615,IGKC,2.3950105,0.03919605133783053,CD8:SK1|CD8A|AHS0228|pAbO,1.2447121,0.5178627403616519,ARL4C,2.33959,0.11415077633607397
38,TNFSF13B,15.502303,3.330441856908251e-53,FOXP3,5.0187616,1.5375561295977176e-06,CD33,14.642347,1.5378611543424035e-47,CXCR3,6.590611,1.985693677205469e-10,CXCR4,2.881033,0.009241184780940406,BTG1,8.01051,7.899554649360517e-15,CD272|BTLA|AHS0052|pAbO,6.0131397,8.341723472744495e-09,TGFBI,6.2264276,2.742166604234328e-09,TNFSF10,9.03775,1.673099321462756e-18,DUSP1,4.5316644,3.316176980611048e-05,BLNK,2.7429643,0.015240506947054918,CR2,2.2934623,0.050300184926626995,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,1.2254964,0.522781433551107,ATF6B,2.2545075,0.13505503918288558
39,HLA-DPA1,15.407777,1.3769414513371358e-52,TNFRSF25,4.572997,1.334456429230442e-05,LAP3,14.633341,1.7128441592748518e-47,CD5,6.4021397,6.869390440532586e-10,CD62L:DREG-56|SELL|AHS0049|pAbO,2.1994746,0.06010811798861059,FYN,7.912858,1.710515614110729e-14,CD278|ICOS|AHS0012|pAbO,5.906987,1.5621512922487555e-08,CD4,6.103534,5.7985433180838155e-09,HLA-A,8.889477,6.262543780789175e-18,FCGR3A,4.487985,4.018518982882232e-05,HLA-DMA,2.4467258,0.03360998354546325,CD69,2.1914828,0.06441159672876604,BLNK,1.1648214,0.5626511865094643,CD4,2.201881,0.14543391553238905
40,CD37,15.125716,1.0163036012031586e-50,CCR7,4.506844,1.801742942098553e-05,CD4,14.287843,2.5311327445780497e-45,FYN,5.7788568,3.1964244240831835e-08,FOXO1,2.0597632,0.08164389334754311,KIR2DL1,7.9017916,1.7854437040538376e-14,CD279:EH12-1|PDCD1|AHS0014|pAbO,5.773673,3.4027150820369024e-08,GNAI2,6.0913033,6.174869497501571e-09,IFITM3,8.841353,9.410508316150405e-18,ITGA4,4.33839,7.808047241576318e-05,HLA-DPA1,2.3802307,0.039436525880912225,LTB,2.1139553,0.07781100003412457,CXCR3,1.158416,0.5654565409332096,XBP1,2.201331,0.14543391553238905
41,KCNE3,15.103341,1.3956510507862659e-50,CXCR5,4.5030327,1.822142676338199e-05,CD36,14.22186,6.361696299781973e-45,CD272|BTLA|AHS0052|pAbO,5.2502394,5.959227622533549e-07,FAM65B,1.5995288,0.20818089668561013,CXCR6|CXCR6|AHS0148|pAbO,7.9014425,1.7854437040538376e-14,CD56:NCAM16.2|NCAM1|AHS0019|pAbO,5.493517,1.7101576567973086e-07,FCN1,5.9667125,1.3169216249366372e-08,ITGAX,8.621149,6.289397203385464e-17,LY86,4.3227806,8.271388142541558e-05,JCHAIN,2.349261,0.0424020395480923,TNFRSF13C,1.8717357,0.12880010192892846,PAX5,1.1133466,0.5953204977764626,CCR2,2.1791434,0.14769107889220573
42,TNFSF10,14.822799,9.254933960361998e-49,CXCR3,4.273267,5.0059195773592585e-05,ITGAX,14.181558,1.105044796683434e-44,RUNX3,5.2026434,7.634400791738163e-07,BIRC3,1.5631313,0.21987608151118063,CD62L:DREG-56|SELL|AHS0049|pAbO,7.883697,2.0261966263064033e-14,DUSP2,5.171558,9.866383864536566e-07,DUSP1,5.817192,3.1303173542512444e-08,Tim3|HAVCR2|AHS0016|pAbO,8.560995,1.0375948436245984e-16,CD1C,4.2377,0.00011812199976220933,IRF8,2.236917,0.05608174927616294,IL4R,1.8531089,0.13160421396690353,CD16:3G8|FCGR3A|AHS0053|pAbO,1.0559323,0.6383206951540372,CMKLR1,2.1076298,0.17445989545292906
43,YBX3,14.689667,6.517775610530563e-48,PRDM1,4.2478323,5.538763544365774e-05,ITGAM,14.081767,4.457638221543557e-44,ZAP70,5.099854,1.3083535542383901e-06,ZAP70,1.5305548,0.23239284186418865,TXK,7.0876756,7.519509692912836e-12,CD127|IL7R|AHS0028|pAbO,4.510823,2.4395605734457706e-05,TLR8,5.7659864,4.192664603268458e-08,LAMP1,8.38258,4.694730441158537e-16,ITGB2,4.208759,0.00013193035517572202,BIRC3,1.9042983,0.11960570168198005,CD25:2A3|IL2RA|AHS0026|pAbO,1.7888143,0.14874776959864255,AIM2,1.0478966,0.6395318073004849,HLA-DQB1,2.084709,0.18017927735840122
44,LAMP1,14.422499,3.175324078839037e-46,DUSP4,4.2108083,6.488691988759626e-05,HLA-DPA1,13.907111,5.086623118232247e-43,TIGIT,4.9550123,2.732304144924273e-06,BACH2,1.4994969,0.24469892862276885,PTPRC,6.829164,4.525660073295373e-11,APOBEC3G,4.4321504,3.4605083227199626e-05,HLA-DRA,5.758086,4.3387151121202866e-08,CD63,8.338488,6.674046058417906e-16,PDIA6,4.103714,0.00020479077226493,BTLA,1.6621674,0.1883421980258022,CD137|TNFRSF9|AHS0003|pAbO,1.6311703,0.2007875510205308,CD70,1.0287974,0.6518871273964882,FLT3,2.0575705,0.19023065284334628
45,HLA-A,14.4208,3.1880474857257637e-46,TNFRSF4,4.142283,8.607188090193207e-05,HLA-DMA,13.849423,1.1132057439515584e-42,CXCR6|CXCR6|AHS0148|pAbO,4.760377,7.2329010116506824e-06,DPP4,1.484115,0.25095354603236086,KLRC1,6.7517004,7.643314226068577e-11,LAIR2,4.3269525,5.5571295080670944e-05,LIPA,5.663283,7.388985443135688e-08,QPCT,8.274558,1.095932862981876e-15,S100A9,4.097149,0.00020811489088024622,CD1C,1.6430162,0.19502318565357518,BACH2,1.6029065,0.2096875643158591,IGLC3,1.0219263,0.6553970358284031,CD4:SK3|CD4|AHS0032|pAbO,1.9536009,0.2226382989931176
